comment,rating,company_name,company_logo,company_website
This was my second order i have placed with them. The first order was delivered about 5 minutes before my wife’s business closed and I placed my order 3 days before it was to be delivered. The second time it was never delivered before my wife’s business was closed and she never received the package. Tried to cancel and get my refund and they give me the run around for 3 days. Still have not gotten my refund. I will never use them again. Worst experience ever,0,1-800-Flowers.com,//s3-eu-west-1.amazonaws.com/tpd/screenshots/47ff62cf00006400050240e6/198x149.png,http://www.1800flowers.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click
ups is the worst shipping company ever who deliver two package my kids school shoes and decide to left them out the apartment door eh who does that.i am in school and got a notice from sportchek to rate my package that was delivered rush home cause i wanted to know whats going on nothing no package nothing who leave package in front an apartment  door no one home u walk with it my kids are without shoe because of carelessness.today september 04 2019 .after i waited on them few days nothing now this,0,UPS,//s3-eu-west-1.amazonaws.com/tpd/screenshots/46907a7f0000640005001093/198x149.png,http://www.ups.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click
Showed up to find out I didn’t have a hotel room,0,Cancelon,//s3-eu-west-1.amazonaws.com/tpd/screenshots/589cd7880000ff00059c669f/198x149.png,http://cancelon.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click
they do not show negative reviews,0,FragranceNet,//s3-eu-west-1.amazonaws.com/tpd/logos/47783f4a0000640005020d16/0x0.png,http://www.fragrancenet.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click
I ordered the “Beautiful” by Estee Lauder.  Is this a knock off version? It doesn’t smell the same.  I’m sorry I ordered it.,0,FragranceNet,//s3-eu-west-1.amazonaws.com/tpd/logos/47783f4a0000640005020d16/0x0.png,http://www.fragrancenet.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click
Always helpful !,0,PickleballCentral,//s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/5540f5a90000ff00057f173e/198x149.png,http://pickleballcentral.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click
"Such a hard program to understand and use the credits. Didn't think it was well explained, I don't see any emails warning me about an upcoming charge and I don't know why I can't use the credit on ONE pair of $44 pants. Too confusing.",0,Fabletics US,//s3-eu-west-1.amazonaws.com/tpd/screenshots/5331df2f000064000578743c/198x149.png,http://www.fabletics.com/?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click
"Ordered on 01/03, got an email that my item was shipped on 01/04, and still have not received my package. Emailed a4c several times and no response. Today is 01/15.",0,A4C,//s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/52b59ed2000064000577ad21/198x149.png,http://a4c.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click
"You are sending emails and interacting with my son, who is 14 years old so I really don't appreciate it.",0,VaporDNA,//s3-eu-west-1.amazonaws.com/tpd/logos/597e95120000ff0005a7c827/0x0.png,http://www.vapordna.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click
Misleading and deceptive - got asked for my payment details in order to 'activate my account' to later find out that I got charged $95.88 to my credit card with no confirmation or authorisation! Emailed their dropbox to demand a refund and they have not gotten back to me. BEWARE OF THIS COMPANY.,0,MealPal,//s3-eu-west-1.amazonaws.com/tpd/logos/58bfeaf90000ff00059e0e26/0x0.png,http://mealpal.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click
"Since I'm away at college, I ordered flowers for my mom the day before Mother's day. Since I waited till the last minute, I was so excited that this site promised they'd be delivered ON Mother's Day. When they were delivered no one was home, so of course I don't blame the site for that. I called their customer service line and was promised they'd be re-delivered the next day. Since the surprise was already ruined, I just asked my mom to make sure she was home all day so she could receive them. They never came. I called again, they apologized, said they'd re-deliver with an apology note and give me a 15% refund. I got the partial refund, but again my poor mom waited all day for them and they never came. I couldn't ask my mom to sit around again all day so I called again and told them I didn't want them re-delivered, I just wanted a full refund. It took a while but the customer service woman finally said she would arrange a full refund. I never received the rest of my refund and I will certainly never be buying anything from this company again.",0,Teleflora,//s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/485164ea000064000502b1bc/198x149.png,http://www.teleflora.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click
"I took out a $800 dollar loan during my time of need. I owed $1000 back. Made my first payment of $200. When it was time to make my next payment. One of the Representative told me everything was paid in full. A week later I owed 1,700 dollars with late fees. Whattt. I couldn't believe it. They don't even know what happened saying they received money from me in a check online and the check bounced !!! I didn't do that. I always call and check with someone. I will NEVER do this again. Make sure you get your balance agreement people everytime you make a payment. Dont fall victim of fraud !!!",0,Plain Green Loans,//s3-eu-west-1.amazonaws.com/tpd/logos/519539d500006400052fd634/0x0.png,http://www.plaingreenloans.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click
"Horrible service, no one listened to a word I said. The guy I dealt with just read a script off of his computer and was very dry, then got mad at me for trying to sell me a $12,000 Car that I couldn’t afford after I told him 3 times I was not looking for a car over $6,000. Not to mention I keep receiving emails that I called and told them to stop sending me.",0,J.D. Byrider,//s3-eu-west-1.amazonaws.com/tpd/screenshots/55803d900000ff0005804004/198x149.png,http://www.jdbyrider.com/?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click
"I was just starting out with Smile Direct looking to save some money over other products and things did not go well.  I made impressions at home as I live well away from any of the scanning locations.  I returned the impressions as instructed the day after I received them.  Instead of hearing back that they had received my impressions, I received near a dozen emails asking me to return the impressions.  Of course, I already had and had done so via their shipper with their pre-printed label.  I contacted Smile Direct thrice asking if they had, or had not, received the impressions and all I received was the run around.  On one occasion I was told they did not have them.  On another occasion I was told they received them but could not find them.  I was also told a new impression kit would be sent but that has not happened.  They just cannot seem to get themselves organized.  I am lucky to have found this out early on while I am only out a small amount of money.  I'd hate to have this kind of service and lack or organization should I ever have had a problem with the actual product.",0,SmileDirectClub US,//s3-eu-west-1.amazonaws.com/tpd/logos/5a9681f1e0e51f0001cb883d/0x0.png,http://smiledirectclub.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click
"My parcel was a week overdue. Never got a call or anything to tell me a problem had arisen. I rang as I got no update information about why my parcel was late on the tracking system. They have told me that the contents of the package was missing and that the package had been opened. This has happened before. They could not find the product. They offered me a refund but the refund would take approximately 2 weeks. I at this stage was furious. My parcel had been opened, the package was missing, they never found the package and never contacted me to why my parcel had not been delivered as per tracking data. I have told them I paid for it the same day I bought it and expect my money back within 24 hrs as it was not their right to hold my money, earn interest on my money, basically waste 2 weeks of research, 4 weeks delivery and another 2 weeks before any resolution and want another 2 weeks. I need the product for my planned time off and I will not have it in time. I asked what would happen if I did that to them or if I needed the item for my mum's surgery tomorrow. They had no response. REALLY, REALLY, REALLY poor. Thieves or just severe incompetence or both.",0,FedEx,//s3-eu-west-1.amazonaws.com/tpd/screenshots/46f40d880000640005019648/198x149.png,http://www.fedex.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click
Bad stuff !  Sales person just want to sell . Also how do I will pay 3 months in advance to get a services . I requested you guys to stop by and take off this system . I don’t like that . I will go adt alarm .,0,Bay Alarm,//s3-eu-west-1.amazonaws.com/tpd/logos/58de84050000ff00059f972d/0x0.png,https://www.bayalarm.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click
I was told I could disconnect the router function and use my own router. Not trueperformance is horrible.,0,HughesNet,//s3-eu-west-1.amazonaws.com/tpd/screenshots/4f590cc80000640005137cef/198x149.png,http://hughesnet.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click
"received email comfirming my purchase, biut never received the product. Was not charged, but never got the goods !!!",0,Pure Health LLC,//s3-eu-west-1.amazonaws.com/tpd/screenshots/4f77518b0000640005140fa9/198x149.png,http://www.purehealth100.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click
"This was unacceptable. I ordered a pizza alright so first of all the guy went to the wrong house as I was waiting outside an started cussing up a storm, he than sped to my driveway an got out aggressively. He than handed me the food an said “are you gonna tip me”. I told him I already did through the app an didn’t have the cash on me, he than got all defensive saying f you an piece of sh**b!tch. Never in my life will I ever order from this site again. I also called customer service an they pretty much ignored my complaint. SO THATS A BIG F U GRUBHUB",0,Grubhub,//s3-eu-west-1.amazonaws.com/tpd/logos/48fbeb70000064000503d413/0x0.png,http://grubhub.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click
Price went up within an hour,0,JustFly,//s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/54dfeb180000ff00057d6ca6/198x149.png,http://justfly.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click
"Very unhappy!  I ordered a 3 piece breakfast nook.  I received an e-mail stating my order had been delivered.  I received the corner bench, package 1 of 2.  I called immediately to report the missing package.  Yesterday the missing package came and it was another corner bench!  Who ever I spoke with on the phone had a difficult time understanding the English language and speaking it!  I called again and still am not sure what is going to happen due to another person not very fluent in English.  I have not had a kitchen table for 3 weeks, which makes it very difficult with children!  I am hoping to have my table and small bench by Thanksgiving.  It is very frustrating dealing with Gettington on the phone!",0,Gettington.com,//s3-eu-west-1.amazonaws.com/tpd/screenshots/4e73fdcf0000640005110547/198x149.png,http://www.gettington.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click
"Bought one 12VDC time delay relay that did not work. I figured that i terminated incorrectly??  bought a second one, this one does not work either! I called to see if someone could confirm wiring. Technical support did confirm that i had wired correctly. i feel like i bought 2 duds! i left a message for the supervisor to return my call still waiting.....................",0,Del City,//s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/54ac0a290000ff00057c8afe/198x149.png,http://delcity.net?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click
"Jalbum is great software. So why only two stars. I've been using Jalbum for seven years, and it produces lovely galleries. But the upgrades rarely warrant the price. If you don't upgrade, the nagging is so annoyingly obtrusive, that the pleasure is gone.",0,jAlbum,//s3-eu-west-1.amazonaws.com/tpd/logos/46d2e4e1000064000500a0c9/0x0.png,http://jalbum.net?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click
Not Happy with the return policy We have a wedding and I had to send back 3 pairs of pants to change size and it cost me 75.00 I could of owned a pair of the pants,0,Island Importer,//s3-eu-west-1.amazonaws.com/tpd/screenshots/49572efc000064000503f9ff/198x149.png,https://www.islandimporter.com/?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click
I have not ordered anything for a long long time & will never order any thing again as I had a BAD experience the last time & feel that you charge to much for S&H plus your return policy sucks.,0,Walter Drake,//s3-eu-west-1.amazonaws.com/tpd/screenshots/481735570000640005026e48/198x149.png,https://www.wdrake.com/?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click
"Disappointed Ordered 5 passport personalised covers... Still not arrived, I have emailed to be told to check with local post office, NO NOT AT POST OFFICE this is £60 worth of orders. What makes this even worse is my self and my 3 children all had to get first time passports, i hve managed to order all our passports attend and interview for passport and get all 4 back before i have even got the covers from you guys!!",0,Zazzle ,//s3-eu-west-1.amazonaws.com/tpd/screenshots/46d3333b000064000500aa62/198x149.png,http://www.zazzle.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click
"I ordered 2 day air and they shipped my order UPS ground. Instead of getting it in 2 or three days it took over a week. This delayed my project quite a bit. They refunded the difference in service, but that didn't buy back the time that I lost.",0,Healthy Kin,//s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/5135452d0000640005235988/198x149.png,http://www.HealthyKin.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click
"I'm very disappointed in the service I'm receiving. The internet speed is VERY slow and I'm having all sorts of trouble with both my cell phone and Magic Jack. Had to turn off my WI-FI setting on my cell phone just to get calls that weren't garbled and constantly being dropped! My Magic Jack phone is totally unusable! Additionally, it has affected my Ring doorbells and now they don't work properly either. Frustrating to say the least!!",0,HughesNet,//s3-eu-west-1.amazonaws.com/tpd/screenshots/4f590cc80000640005137cef/198x149.png,http://hughesnet.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click
"We booked a flight with Bravofly, and all seemed ok until we realised that there was no luggage included in the flight. So we decided to call them to book and pay for baggage. Sounds easy... It wasn't. We called. And called. And called. When we managed to get through to any of the seemingly massive team of ""customer service"" advisors, each picked for their rudeness, terrible grasp of the English language and a seeming desire to ruin your trip, we eventually managed to force a promise from them to get someone to call us to arrange the baggage booking. Ok, so we should now get a call. Right? Not right. We did get a few tries at random times, (not English time friendly at all,) but when we couldn't answer (we are both very busy) they didn't bother trying again or leaving a message until we called and asked them to get someone to call again. We did try calling back but the number didnt work! And this happened again and again. Only once did they leave a message, which was completely rude and unintelligible. This despite the fact that we asked on a few occasions that they call us both on different numbers which they never did. Eventually we told them that if they don't sort it out then we would leave a bad review online. Miracle of miracles - they called the next morning (albeit before 8:00!) and sorted everything in less than 5 minutes! All I can say is avoid BravoFly like the plague - they have honestly given the very worst customer service (or lack thereof) that I have ever experienced. BravoFly - I know that you are going to try to contact us now to resolve this. Lets see what you can do - it will take a lot, as right now all I can think of is ""too little too late...!""",0,Bravofly,//s3-eu-west-1.amazonaws.com/tpd/logos/47ff74ec00006400050242a5/0x0.png,https://www.bravofly.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click
"worst customer service experience I have ever had.  This is not an exaggeration - No communication about the status of my order, late delivery, poor quality.  I filed complaints with the BBB and PayPal.  Unfortunately I was unable to get my money back.  When I did receive response from the company after 9 emails the contact was unapologetic and only made me more frustrated with the company.  Hoping no one else falls for this Facebook ad because the company certainly doesn't appreciate its customers.",0,PupSocks,//s3-eu-west-1.amazonaws.com/tpd/logos/5a3834bdb894c90c9023c99b/0x0.png,http://gopupsocks.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click
I made an order with this company gor make up brushes and wanted to be enrolled into the box but somehow the subscription cancelled on it . i have already emailed twice and still havent gotten a response for how it got cancelled. I had a theroy since i am enrolled with one email for myself and did a purchase with email  for my daughter and tried to get the box enrolled for her on that order but the next day they let me know the brushes ship but that the order for the box got cancelled. So now imma have to re order and pay another shiping almost makes me feel like just getting her a subscription through another company this has been a hassell i should be able to pay for my daughters subscription.,0,Focallure,//s3-eu-west-1.amazonaws.com/tpd/screenshots/592e8a9e0000ff0005a39017/198x149.png,http://shopfocallure.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click
"I bought 3 tickets for Hamilton in NY, which cost over $1,500 combined, relying on the StubHub value indicator along with pictures shown on the StubHub website of my view from the seats.  I reviewed a number of seats for location, view, and cost before deciding on the ones I purchased.  After receiving my tickets it was noted that there was a partial view obstruction.  The obstruction was not shown on the view of my seats on the website nor would I consider any ticket to a sporting/theater event with a partial obstruction to be a best value seat.  StubHub's customer service representative was indifferent to my issue, they would not take the tickets back, and put the onus on me to resell the tickets so that I could then have the money to repurchase seats without an obstructed view.",0,StubHub,//s3-eu-west-1.amazonaws.com/tpd/logos/46d356a1000064000500ae6d/0x0.png,http://www.stubhub.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click
"Bizarre way of having to contact Redbubble by posting on here! I was told on Friday that they had sent me an e-mail regarding my order (placed on 3rd Dec) but there's nothing in my inbox or junk folder. Unless you count the promotional e-mail from Redbubble trying to sell me gift vouchers (as if I would inflict their dreadful customer service on anybody else!) If they can send me promotions, why hasn't the e-mail from customer support arrived? I know there was a stock problem with the kids shirts I ordered but I was told on 15th that they were finally being printed. So why haven't they shipped? At least if I had an answer I could explain to my kids why their presents didn't arrive in time for Christmas. Dreadful, dreadful customer service. Please e-mail me Redbubble!",0,Redbubble,//s3-eu-west-1.amazonaws.com/tpd/logos/4885a44b0000640005030324/0x0.png,http://www.redbubble.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click
"Easy and great deals on tickets online but when it comes to the customer service they are rude, unprofessional and disgusting",0,AirTkt,//s3-eu-west-1.amazonaws.com/tpd/screenshots/54454ef600006400057b095d/198x149.png,http://www.airtkt.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click
"Since the two digital giftcards were checked and each has a balance of zero, I am not the least bit happy",0,Cardpool,//s3-eu-west-1.amazonaws.com/tpd/screenshots/4fe4af0c000064000516e27a/198x149.png,https://www.cardpool.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click
Don't waste your money on the phone insurance. Every time you send them information they will just ask for something else. A month later i had enough and just realized this company was a waste of money.,0,Worth Ave Group,//s3-eu-west-1.amazonaws.com/tpd/logos/4ca7343100006400050df165/0x0.png,http://www.worthavegroup.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click
"I had no idea there was a big fee for a reserved seat and carry-on bag.  I felt used and taken advantage of.  I certainly didn't get any kind of bargain, and in fact paid much more than what a reasonable amount would be.   My friends told me I really got screwed!",0,Travelocity,//s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/46d6ca37000064000500e2cd/198x149.png,http://www.travelocity.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click
Waste of time. They won't even let you delete your profile. The biggest issue for me is the privacy and accuracy of the content available. I always tell my friends not to quote Facebook as a source.,0,Facebook,//s3-eu-west-1.amazonaws.com/tpd/screenshots/521fb8d50000640005768f4d/198x149.png,https://www.facebook.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click
Horrible experience,0,Affordable World,//s3-eu-west-1.amazonaws.com/tpd/logos/5977d0480000ff0005a76d4f/0x0.png,http://affordableworld.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click
I ordered 2 bulls tickets I received the confirmation in my email but not the tickets! I got to the game and I was unable to get in.,0,TicketCity,//s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/4bdc16420000640005058663/198x149.png,https://www.ticketcity.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click
way way too long your shipping sucks never again will I buy from you. there are plenty of others to buy from!,0,CafePress,//s3-eu-west-1.amazonaws.com/tpd/screenshots/46d71f62000064000500e8f2/198x149.png,http://www.cafepress.com/?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click
I sent mine back - the instructions were difficult to understand.  You need at least two people to put this together.   The advertisement was misleading about how to put the frame together.,0,MirrorMate Frames,//s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/54e79ee10000ff00057d8faa/198x149.png,http://mirrormate.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click
"I never received my shoes, and customer service told me it was my problem.",0,Long Tall Sally,//s3-eu-west-1.amazonaws.com/tpd/logos/584fd2110000ff00059910f9/0x0.png,http://www.longtallsally.com/us/?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click
Lied about how easy it is to find the star,0,Star Registration,//s3-eu-west-1.amazonaws.com/tpd/screenshots/5110cb4a000064000521e595/198x149.png,http://star-registration.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click
"No other communication between seller and me after my purchase online. Seller left me hanging as to when I would receive the item. No email, nothing.",0,Antique Lamp Supply,//s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/54a2d27300006400057c6a46/198x149.png,http://antiquelampsupply.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click
"This was the worst website I have ever ordered from!  I got no conformation email, no tracking notice, no shipment notice, no answered phone calls or emails.  I called my credit card co and filled a dispute before I actually got my order.  It took forever to arrive in the mail in a cheap little plastic bag with no packing slip.  By the time I got my order the prices on the products were half at the stores.  I would never, ever order from this company again.",0,Pure Health LLC,//s3-eu-west-1.amazonaws.com/tpd/screenshots/4f77518b0000640005140fa9/198x149.png,http://www.purehealth100.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click
"Horrible experience with Expedia. I made reservation and called hotel for detail information like it was directed on the website. Hotel didn't have any my information but Expedia keep saying my reservation is confirmed. They didn't have anyway to contact to the hotel and no clear answer until the day before my travel. Agent just says our ""special team will work on it"" no idea at all.",0,Expedia,//s3-eu-west-1.amazonaws.com/tpd/screenshots/46d9f1b100006400050106cf/198x149.png,http://www.expedia.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click
i was given a ticket even though I displayed my parking pass,0,Parking.com,//s3-eu-west-1.amazonaws.com/tpd/logos/5b3b8e7315edb5000102cc98/0x0.png,http://parking.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click
"Would give no stars for customer service, but that isn't an option. I had a rude lady who kept hanging up on me, would not give her name and when I asked to speak with someone else she told me to call back and hung up on me, so I called back she answered again I asked her name again then she hung up, she hung up on me six different times. Very poor customer service",0,Vayama.com,//s3-eu-west-1.amazonaws.com/tpd/logos/4aa6d5d6000064000504b866/0x0.png,http://www.vayama.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click
What in the world is taking so long to ship my bracelets? This is a major supplier - shouldn't  take so long. . I ordered on April 23rd.  This is May 11th. ORDER HASN'T EVEN SHIPPED YET.  Why?,0,Bradford Exchange,//s3-eu-west-1.amazonaws.com/tpd/logos/58a32d660000ff00059cae6e/0x0.png,http://bradfordexchange.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click
"Ordered Christmas cards and paid via paypal.  My current address never updated on the order when I changed it so the order went to my old address. I called to let them know, they resent the order and still sent it to the old address.  They updated the Bill To address but did not update the Send To address. Two orders to the incorrect address.  Current residents of the OLD address returned to sender. I asked for a refund cause I was tired of dealing with them.  To date, they have not refunded the amount.",0,Walter Drake,//s3-eu-west-1.amazonaws.com/tpd/screenshots/481735570000640005026e48/198x149.png,https://www.wdrake.com/?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click
"Lost my package and unable to give me explanation as to what happened to it and their facility is only 30mins away from my house. Took them a week to re-send me new one. Unhelpful rep on the phone, and unresponsive from email until I emailed the manager. In return ? They got me $10 goft card yayyyy!",0,Jenson USA,//s3-eu-west-1.amazonaws.com/tpd/logos/47fb4ae70000640005023e79/0x0.png,http://www.jensonusa.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click
